country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Estonia,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326590,1325000,1321000,1316000,1311000,1305000,1299000,1294000,1289000,1284000,1279000,1274000,1268000,1262000,1255000,1248000,1242000
Eswatini,1005435,1013609,1019059,1022802,1026286,1030579,1036092,1042652,1049945,1057467,1064837,1072032,1079288,1086839,1095021,1104044,1113984,1124753,1136191,1148130,1160000,1172000,1185000,1198000,1210000,1224000,1237000,1251000,1265000,1281000,1298000,1317000,1337000,1358000,1380000,1401000
Ethiopia,66224804,68159423,70142091,72170584,74239505,76346311,78489206,80674348,82916235,85233913,87639964,90139927,92726971,95385785,98094253,100835458,103603501,106400024,109224559,112078730,114964000,117876000,120813000,123771000,126751000,129749000,132766000,135797000,138839000,141890000,144944000,148001000,151059000,154117000,157175000,160231000
Euro area,321310791,322547874,324125336,325885964,327682505,329380417,330922789,332645165,334274725,335360890,336151479,335419643,336159194,337302113,338462222,339488380,340481753,341163597,341843156,342597698,342718000,342703000,342582000,342395000,342173000,341953000,341730000,341495000,341241000,340951000,340630000,340273000,339891000,339477000,339035000,338568000
Europe & Central Asia,861278548,862347940,863936840,866215690,868808156,871456632,874157201,877300672,880829122,884469375,887926820,890162706,893788642,898060416,902406816,906707416,910904758,914585461,917922618.5,921140092,923217000,924888000,926135000,927075000,927829000,928517000,929147000,929693000,930157000,930510000,930755000,930909000,930994000,931008000,930955000,930838000
Europe & Central Asia (excluding high income),369143668,369183312,369278345,369597930,370083723,370632537,371318140,372332605,373751805,375674687,377835769,380165082,382509766,385088778,387660810,390295673,392870484,395289709,397435105.5,399404587,401116000,402518000,403625000,404513000,405281000,406004000,406704000,407365000,407996000,408582000,409127000,409639000,410132000,410604000,411053000,411478000
Europe & Central Asia (IDA & IBRD countries),434313570,433863000,433541379,433680225,434022293,434427812,434964326,435646364,436725144,438498958,440420861,442656487,444898523,447368356,449819913,452301305,454717187,456976356,458970243.5,460799505,462316000,463542000,464481000,465202000,465793000,466326000,466817000,467253000,467643000,467974000,468251000,468482000,468684000,468853000,468991000,469097000
European Union,429328624,429895628,430881944,432415939,434040236,435581949,436998049,438468400,439876674,440917800,441532412,440746976,441395932,442469471,443576663,444543759,445487728,446131273,446777673,447512041,447454000,447276000,446993000,446639000,446231000,445805000,445349000,444857000,444322000,443729000,443084000,442387000,441651000,440868000,440046000,439191000
Faroe Islands,46735,46997,47233,47432,47600,47722,47792,47825,47820,47808,47814,47823,47843,47892,47960,48051,48173,48331,48497,48678,49000,49000,49000,49000,50000,50000,50000,50000,50000,51000,51000,51000,51000,52000,52000,52000
Fiji,811006,813925,815257,816076,817860,821604,827870,836190,845361,853637,859818,863449,865069,865608,866453,868627,872399,877459,883483,889953,896000,903000,909000,916000,923000,930000,937000,944000,952000,959000,966000,973000,979000,986000,992000,998000
Finland,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5520314,5528000,5535000,5541000,5546000,5551000,5554000,5555000,5555000,5553000,5550000,5546000,5542000,5538000,5533000,5527000,5522000
Fragile and conflict affected situations,504450718,517162716,530422958,544149583,558207668,572498604,587009010,601759996,616786947,632127588,647810261,663884474,680326998,697006260,713739741,730424930,747004599,763578047,780467640,798138587,816747000,836461000,857158000,878586000,900361000,922210000,944049000,965945000,987921000,1010065000,1032420000,1054978000,1077702000,1100600000,1123689000,1146978000
France,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016225,64374984,64707040,65027507,65342780,65659809,65998687,66312067,66548272,66724104,66864379,66965912,67059887,67206000,67370000,67542000,67711000,67870000,68016000,68146000,68263000,68367000,68460000,68546000,68624000,68696000,68762000,68823000,68878000
French Polynesia,240686,244931,248972,252703,255992,258780,261010,262721,264061,265254,266455,267698,268998,270328,271705,273124,274575,276103,277679,279287,281000,283000,284000,286000,287000,289000,291000,292000,294000,295000,297000,298000,299000,301000,302000,303000
Gabon,1228360,1258003,1288315,1319953,1353795,1390549,1430152,1472575,1518540,1568928,1624140,1684635,1749682,1817071,1883800,1947686,2007873,2064823,2119275,2172579,2226000,2279000,2332000,2384000,2436000,2488000,2539000,2591000,2642000,2693000,2744000,2796000,2847000,2898000,2950000,3002000
"Gambia, The",1317703,1360074,1404261,1449925,1496527,1543741,1591445,1639848,1689285,1740279,1793196,1848147,1905011,1963711,2024042,2085860,2149139,2213894,2280102,2347706,2417000,2487000,2558000,2631000,2705000,2780000,2856000,2934000,3012000,3091000,3171000,3251000,3333000,3415000,3498000,3582000
Georgia,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720382,3711000,3700000,3688000,3676000,3663000,3649000,3635000,3620000,3605000,3590000,3574000,3558000,3541000,3524000,3507000,3490000
Germany,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83132799,83191000,83140000,83016000,82859000,82706000,82587000,82500000,82435000,82381000,82325000,82259000,82181000,82091000,81990000,81878000,81756000
Ghana,19278856,19756928,20246381,20750299,21272323,21814642,22379055,22963946,23563825,24170940,24779619,25387710,25996449,26607642,27224472,27849205,28481946,29121471,29767108,30417856,31073000,31732000,32395000,33063000,33734000,34409000,35087000,35769000,36454000,37142000,37833000,38528000,39225000,39925000,40627000,41332000
Gibraltar,31077,31602,32102,32555,32928,33219,33417,33517,33559,33565,33585,33612,33646,33692,33725,33736,33737,33728,33718,33701,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
Greece,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10716322,10657000,10599000,10542000,10488000,10435000,10383000,10334000,10285000,10238000,10191000,10146000,10101000,10058000,10015000,9973000,9930000
Greenland,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56172,56023,56225,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,102833,103249,103634,104005,104347,104661,104933,105190,105456,105789,106233,106796,107446,108170,108902,109599,110261,110874,111454,112003,113000,113000,113000,114000,114000,115000,115000,115000,115000,116000,116000,116000,116000,116000,116000,116000
Guam,155329,156401,157176,157717,158101,158402,158648,158847,159036,159226,159444,159692,159996,160407,161016,161853,162951,164281,165768,167294,169000,170000,172000,173000,174000,175000,177000,178000,179000,180000,181000,182000,183000,184000,185000,186000
Guatemala,11589761,11871565,12147518,12415334,12682108,12948292,13213330,13477017,13739299,14000190,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16918000,17233000,17547000,17862000,18175000,18488000,18800000,19110000,19418000,19723000,20027000,20328000,20626000,20921000,21212000,21501000
