country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Small states,5.707081007,5.286436508,4.889089866,4.577332203,4.321972705,4.063796776,3.830955478,3.69089969,3.562639001,3.405894794,3.236813184,3.080291288,2.897803611,2.711780884,2.522002902,2.347375565,2.177895879,2.021923879,1.862215453,1.765970728
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,
Suriname,0.91,0.86,0.84,0.8,0.78,0.76,0.73,0.72,0.7,0.71,0.71,0.67,0.64,0.6,0.57,0.54,0.52,0.5,0.47,0.45
Slovak Republic,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,
Eswatini,18.53,18.06,17.61,17.35,17.16,17.24,16.66,16.45,16.38,15.62,15.16,14.65,14.38,14.01,13.29,11.31,9.55,7.82,5.82,4.9
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
